#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1,health insurance,in,75,111000,3,0.81,health insurance,2023-04-26 0:11:36,"People also ask,Top stories,Thumbnail,Sitelinks",387000,114000
2,bike insurance,in,67,97000,1.5,1.18,two wheeler insurance,2023-04-26 1:59:17,"Sitelinks,Videos",126000,248000
3,car insurance,in,73,96000,7,1.03,car insurance,2023-04-25 7:19:12,"Sitelinks,Image pack",1410000,233000
4,life insurance,in,92,53000,3,0.59,lic,2023-04-25 13:14:45,"People also ask,Top stories,Thumbnail",457000,2570000
5,term insurance,in,64,44000,9,0.92,term insurance,2023-04-25 11:51:56,"Sitelinks,People also ask,Top stories,Thumbnail,Image pack",61000,33000
6,travel insurance,in,66,26000,10,1.04,travel insurance,2023-04-26 12:18:53,"People also ask,Top stories,Thumbnail,Image pack,Video preview,Bottom ads,Paid sitelinks",1140000,16000
7,mobile insurance,in,16,11000,0.25,1.33,mobile insurance,2023-04-25 17:05:27,"Sitelinks,Shopping results,Thumbnail",15000,9300
8,marine insurance,in,20,8200,1,0.67,marine insurance,2023-04-26 2:38:53,"Featured snippet,Thumbnail,People also ask,Sitelinks,Knowledge panel",18000,4500
9,commercial vehicle insurance,in,24,8000,1.4,1.46,commercial vehicle insurance,2023-04-25 16:41:20,"Sitelinks,Video preview",17000,6700
10,motor insurance,in,66,7000,5,0.67,vehicle insurance,2023-04-25 19:26:51,"Sitelinks,People also ask,Top stories,Thumbnail",52000,20000
11,senior citizen health insurance,in,23,5900,2.5,1.3,health insurance for senior citizens,2023-04-24 9:42:36,"People also ask,Video preview,Bottom ads,Paid sitelinks",6800,15000
12,home insurance,in,39,5800,3,0.83,home insurance,2023-04-25 13:39:08,"People also ask,Top stories,Thumbnail,Sitelinks",244000,8500
13,crop insurance,in,30,5500,,,pmfby,2023-04-26 9:44:10,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail,Video preview",6900,220000
14,fire insurance,in,4,5500,0.8,0.63,fire insurance,2023-04-26 6:13:56,"People also ask,Sitelinks",12000,3700
15,personal accident insurance,in,28,5100,0.5,0.88,personal accident insurance,2023-04-26 13:08:25,"People also ask,Sitelinks",14000,10000
16,critical illness insurance,in,41,4200,2,1.32,critical illness insurance,2023-04-26 1:13:39,"Sitelinks,People also ask,Knowledge panel",30000,7500
