Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
fitness,INR,50000,0%,0%,Low,4,5.96,73.52
gym near me,INR,500000,0%,0%,Low,8,6.04,52.35
gym,INR,500000,0%,0%,Low,3,7.08,53.87
workout,INR,50000,0%,0%,Low,4,3.34,35.33
personal trainer,INR,5000,0%,0%,Low,17,11.95,59.21
aerobic exercise,INR,50000,0%,0%,Low,3,1.03,9.05
anytime fitness near me,INR,5000,900%,900%,Low,3,15.02,88.79
crossfit near me,INR,5000,0%,0%,Low,6,12.13,87.35
personal trainer near me,INR,5000,0%,0%,Medium,34,9.84,50.95
resistance band,INR,50000,0%,0%,High,100,1.06,12.33
aerobics,INR,50000,0%,0%,Low,1,1.64,58.38
physical fitness,INR,50000,0%,0%,Low,2,6.11,44.51
circuit training,INR,5000,0%,0%,Low,1,3.04,149.49
weight bench,INR,500,0%,0%,High,95,1.06,32.3
fitness near me,INR,5000,0%,0%,Low,10,9.02,60.22
p90x,INR,500,0%,0%,Low,1,5.76,120.06
city fitness,INR,500,0%,0%,Low,1,39.35,86.62
gym membership,INR,5000,0%,0%,Low,19,7.88,49.83
leg day workout,INR,5000,0%,0%,Low,1,18.91,73.19
powerhouse gym,INR,5000,0%,0%,Low,1,7.35,109.36
back exercises gym,INR,50000,0%,0%,Low,1,1.64,73.11
ladies gym near me,INR,50000,0%,0%,Low,6,4.1,46.12
push day workout,INR,5000,0%,0%,Low,1,24.67,83.05
lower chest workout,INR,50000,0%,0%,Low,0,,
chloe ting workout,INR,5000,0%,0%,Low,1,,
pull day workout,INR,5000,0%,0%,Low,0,,
functional training,INR,5000,0%,0%,Medium,36,1.36,48.02
fitness factory,INR,5000,0%,0%,Low,3,15.82,72.58
bakhar nabieva,INR,5000,0%,0%,Low,0,,
chest workout gym,INR,50000,0%,0%,Low,2,1.98,51.81
sergi constance,INR,50000,0%,-90%,Low,0,,
club fitness,INR,500,900%,0%,Low,1,,
inner thigh workout,INR,5000,0%,0%,Low,2,,
exercise ball,INR,5000,0%,0%,High,100,1.47,20.04
back workout gym,INR,50000,0%,0%,Low,1,6.97,78.27
back and bicep workout,INR,5000,0%,0%,Low,0,20.11,121.15
workout bench,INR,5000,0%,0%,High,100,1.17,27.75
lazar angelov,INR,5000,0%,0%,Low,0,,
energy fitness,INR,500,0%,0%,Low,2,10.15,112.88
bodyfit,INR,5000,0%,0%,Low,17,7.02,43.13
cardio workout,INR,5000,0%,0%,Low,2,1.64,42.76
best ab workouts,INR,5000,0%,0%,Low,3,1.64,22.65
best gym near me,INR,50000,0%,0%,Low,11,4.79,48.4
upper chest workout,INR,5000,900%,900%,Low,1,,
forearm workout,INR,50000,0%,900%,Low,24,0.96,1.31
fitness classes near me,INR,5000,0%,0%,Low,14,10.53,60.89
gym workout,INR,50000,0%,0%,Low,8,2.47,24.98
health related fitness,INR,500,0%,0%,Low,2,7.01,65.79
7 minute workout,INR,500,0%,0%,Low,8,14.8,81.96
golds gym near me,INR,50000,0%,0%,Low,7,13.56,87.08
cultfit,INR,500000,0%,0%,Low,13,27.16,673.26
airbike,INR,500,-90%,0%,High,97,1.82,53.73
fitness center,INR,5000,0%,0%,Low,3,14.77,78.02
shoulder workout gym,INR,50000,0%,0%,Low,1,19.48,79.76
