Region,fitness: (4/26/22 - 4/26/23)
Delhi,100
Chandigarh,97
Karnataka,83
Tamil Nadu,73
Maharashtra,71
Haryana,68
Telangana,66
Kerala,66
Puducherry,66
Dadra and Nagar Haveli,65
Daman and Diu,64
Punjab,64
Goa,63
Sikkim,61
Tripura,59
Jammu and Kashmir,58
Gujarat,55
Odisha,55
Uttarakhand,55
Andaman and Nicobar Islands,51
Manipur,51
Mizoram,48
Uttar Pradesh,46
Rajasthan,45
Chhattisgarh,42
Andhra Pradesh,42
West Bengal,42
Madhya Pradesh,41
Arunachal Pradesh,41
Himachal Pradesh,41
Jharkhand,39
Assam,39
Nagaland,38
Meghalaya,36
Bihar,29
Lakshadweep,
